productNum,productId,productName,productFullName,institutionID,productQuota,NAV,productType,openDate,endDate,currencyIdList,IPOCurrencyIdList,exchIdList,productStatus,ReckoningFlag,memo,inputTime,optId,repoInterFlag,setupBegintime,setupEndTime,closeBeginTime,closeEndTime,TradeOrderFlag,MessageOptIdList,isAuto,TradeInstituTionId,PermitFlag,OddAmt,FileOrderFlag,CurrentAsset,APIServiceFlag,instructNoOrderFlag,IOPV,Otherpayables,assetInvestType,reckoningCheckFlag,investType,TAType,investArea,fundWorkType,fundID,groupValuation,acctCheckList,stkCheckList,usableCheckMode,stkValuationMode,NAVCalPrecision,settleNo,CFETSId,defaultProductAcct,defaultPortfolio
12,,股东路由测试,股东路由测试,DZCS,100000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220212110135,99990,0,-1,-1,-1,-1,0,,N,DZCS,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
13,,1,11,FUT,1.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220212231849,99991,0,-1,-1,-1,-1,0,,N,FUT,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
14,,期货产品1,期货产品1,KFCS,10000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220215101526,99990,0,-1,-1,-1,-1,0,,N,KFCS,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
15,,sx期货,sx期货,QH,1.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220215102641,99990,0,-1,-1,-1,-1,0,,N,QH,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
16,,回放测试,回放测试,ZDHC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220215195553,99990,0,-1,-1,-1,-1,0,,N,ZDHC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
17,,自动化对冲,自动化对冲,ZDHC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220216165615,99990,0,-1,-1,-1,-1,0,,N,ZDHC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
18,,自动化对冲,自动化对冲,ZDHC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220216165643,99990,0,-1,-1,-1,-1,0,,N,ZDHC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
19,217,天宇测试沪A,天宇测试沪A,OTCD,1000000000.0,0.0,1,-1,-1,RMB,RMB,0,2,2,,20220217104330,99990,0,-1,-1,-1,-1,0,,N,OTCD,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
20,S04180,dsstest,dsstest123,DSSC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220418181731,99990,0,-1,-1,-1,-1,0,,N,DSSC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
21,S04190,fangzhen,fangzhentest,DSSC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419110935,99990,0,-1,-1,-1,-1,0,,N,DSSC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
22,,对接gw测试,对接gw测试,POC_JG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419141136,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
23,,ZY现货,ZY现货,ZY,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419150242,99990,0,-1,-1,-1,-1,0,,N,ZY,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
24,,TOA,TOA,TOA,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419151712,99990,0,-1,-1,-1,-1,0,,N,TOA,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
25,,TOB,TOB,TOB,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419151733,99990,0,-1,-1,-1,-1,0,,N,TOB,N,0.0,1,999994334.22,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
26,,TOC,TOC,TOC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419151753,99990,0,-1,-1,-1,-1,0,,N,TOC,N,0.0,1,1839635206.75,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
27,,现货产品,现货产品,BYCS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419174236,99990,0,-1,-1,-1,-1,0,,N,BYCS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
28,,CP_TESTPT,CP_TESTPT,IN_1,0.0,1.0,1,-1,-1,RMB,RMB,,2,1,,20220923102521,ZXQA000,0,-1,-1,-1,-1,0,,1,IN_1,0,0.0,1,0.0,N,0,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,-1,-1
29,000001,ceshi001,ceshi001,ZK000001,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220419182726,99990,0,-1,-1,-1,-1,0,,N,ZK000001,N,0.0,1,299999999997.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
30,,CP_TESTA,CP_TESTA,IN_1,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420104509,99990,0,-1,-1,-1,-1,0,,N,IN_1,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
31,,A1产品,A1产品,A机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105345,99990,0,-1,-1,-1,-1,0,,N,A机构,N,0.0,1,-6225.46,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
32,,A2产品,A2产品,A机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105402,99990,0,-1,-1,-1,-1,0,,N,A机构,N,0.0,1,107582.38,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
33,,A3产品,A3产品,A机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105419,99990,0,-1,-1,-1,-1,0,,N,A机构,N,0.0,1,246246.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
34,,B1产品,B1产品,B机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105448,99990,0,-1,-1,-1,-1,0,,N,B机构,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
35,,B2产品,B2产品,B机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105603,99990,0,-1,-1,-1,-1,0,,N,B机构,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
36,,B3产品,B3产品,B机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105619,99990,0,-1,-1,-1,-1,0,,N,B机构,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
37,,C1产品,C1产品,C机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105853,99990,0,-1,-1,-1,-1,0,,N,C机构,N,0.0,1,1851640171754.99,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
38,,C2产品,C2产品,C机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105905,99990,0,-1,-1,-1,-1,0,,N,C机构,N,0.0,1,229937116.83,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
39,,C3产品,C3产品,C机构,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420105915,99990,0,-1,-1,-1,-1,0,,N,C机构,N,0.0,1,3585146471.55,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
40,,CP_TESTB,CP_TESTB,IN_2,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420110454,99990,0,-1,-1,-1,-1,0,,N,IN_2,N,0.0,1,199999958745.95,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
41,,sdsd,sdsd,sd,0.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220420111031,99990,0,-1,-1,-1,-1,0,,N,sd,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
42,yccp01,压测产品01,压测产品01,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420112428,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
43,yccp02,压测产品02,压测产品02,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420113009,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
44,,CP_TESTC,CP_TESTC,IN_3,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420114302,99990,0,-1,-1,-1,-1,0,,N,IN_3,N,0.0,1,99999999999.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
45,,期货产品,期货产品,BYCS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420132159,99990,0,-1,-1,-1,-1,0,,N,BYCS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
46,S04200,对接CTS,对接CTS,DSSC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420142251,99990,0,-1,-1,-1,-1,0,,N,DSSC,N,0.0,1,20000046541.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
47,yccp03,压测产品03,压测产品03,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420190942,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,663258689.34,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
48,yccp04,压测产品04,压测产品04,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220420191259,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
49,000002,ceshi002,ceshi002,ZK000001,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220421094146,99990,0,-1,-1,-1,-1,0,,N,ZK000001,N,0.0,1,223387945.37,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,-1,-1
50,,zb421test,zb421test,POC_JG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220421102639,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
51,FUT,zqh_Future,zqh_Future,zqh,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220421110914,99990,0,-1,-1,-1,-1,0,,N,zqh,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
52,,WJR,WJR,POC_JG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220421111800,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
53,,asc,asc,TOA,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220422111525,99990,0,-1,-1,-1,-1,0,,N,TOA,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
54,,lisx,lisx,JGJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220422113533,99990,0,-1,-1,-1,-1,0,,N,JGJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
58,,pt424test,pt424test,xx,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220424135825,99990,0,-1,-1,-1,-1,0,,N,xx,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
59,,ETF-GW,ETF-GW,ZY,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220425164428,99990,0,-1,-1,-1,-1,0,,N,ZY,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
60,,TOCX-TOCX,TOCX-TOCX,TOCX,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220426130944,99990,0,-1,-1,-1,-1,0,,N,TOCX,N,0.0,1,218671605.62,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
61,,风控中心测试账户A,风控中心测试账户A,JGJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220427103006,99990,0,-1,-1,-1,-1,0,,N,JGJG,N,0.0,1,111111.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
62,,风控中心测试账户B,风控中心测试账户B,JGJG2,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220427110101,99990,0,-1,-1,-1,-1,0,,N,JGJG2,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
63,,风控中心测试账户C,风控中心测试账户C,JGJG3,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220427110337,99990,0,-1,-1,-1,-1,0,,N,JGJG3,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
65,,lisx对冲账户,lisx对冲账户,JGJG2,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220428103800,99990,0,-1,-1,-1,-1,0,,N,JGJG2,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
66,,WJR-cts,WJR-cts,POC_JG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220428145416,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
67,,ETF申赎,ETF申赎,VS_CTS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220428170023,99990,0,-1,-1,-1,-1,0,,N,VS_CTS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
68,,压测风控产品1,压测风控产品1,ylcs01,1000000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220429102259,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
69,,ETF-CTS,ETF-CTS,ZY,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220429143108,99990,0,-1,-1,-1,-1,0,,N,ZY,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
70,S04290,对接仿真,对接仿真123,DSSC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220429145759,99990,0,-1,-1,-1,-1,0,,N,DSSC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
71,,DEMO,DEMO,DEMO,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220430111252,99990,0,-1,-1,-1,-1,0,,N,DEMO,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
72,yccp05,压测产品05,压测产品05,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220504200625,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
73,yccp06,压测产品06,压测产品06,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220504201342,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
74,yccp07,压测产品07,压测产品07,ylcs01,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220504211248,99990,0,-1,-1,-1,-1,0,,N,ylcs01,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
75,,cts连交易所测试,cts连交易所测试,POC_JG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220506181152,99990,0,-1,-1,-1,-1,0,,N,POC_JG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
76,,CTS-JYS,CTS-JYS,ZY,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220506181741,99990,0,-1,-1,-1,-1,0,,N,ZY,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
77,000003,ABC账户,ABC账户,ZK000001,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220509143515,99990,0,-1,-1,-1,-1,0,,N,ZK000001,N,0.0,1,10020791.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
78,A00001,测试A产品,测试A产品,ZKA,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220510112634,99990,0,-1,-1,-1,-1,0,,N,ZKA,N,0.0,1,-860.9,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,-1,-1
79,B00001,测试B产品,测试B产品,ZKB,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220510112958,99990,0,-1,-1,-1,-1,0,,N,ZKB,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
80,C00001,测试C产品,测试C产品,ZKC,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220510113045,99990,0,-1,-1,-1,-1,0,,N,ZKC,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
81,,cts申赎账户借用,cts申赎账户借用,VS_CTS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220511140230,99990,0,-1,-1,-1,-1,0,,N,VS_CTS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
82,,cts借用申赎,cts借用申赎,VS_CTS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220511140557,99990,0,-1,-1,-1,-1,0,,N,VS_CTS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
83,,交易所-CTS,交易所-CTS,ZY,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220511140810,99990,0,-1,-1,-1,-1,0,,N,ZY,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
84,,WWZQ,WWZQ,WWZQ,10000.0,0.0,1,-1,-1,RMB,RMB,,2,2,,20220511153830,99990,0,-1,-1,-1,-1,0,,N,WWZQ,N,0.0,1,0.0,N,N,0.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
85,,SAJG,SAJG,SAJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524112435,99990,0,-1,-1,-1,-1,0,,N,SAJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
86,,SBJG,SBJG,SBJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524112504,99990,0,-1,-1,-1,-1,0,,N,SBJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
87,,SACS,SACS,SACS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524114712,99990,0,-1,-1,-1,-1,0,,N,SACS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
88,,SBCS,SBCS,SBCS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524114735,99990,0,-1,-1,-1,-1,0,,N,SBCS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
89,,SCCS,SCCS,SCCS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524114756,99990,0,-1,-1,-1,-1,0,,N,SCCS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
90,,现货产品,现货产品,NAJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524121226,99990,0,-1,-1,-1,-1,0,,N,NAJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
91,,期货产品,期货产品,NAJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524121239,99990,0,-1,-1,-1,-1,0,,N,NAJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
92,,现货产品,现货产品,NBJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524121309,99990,0,-1,-1,-1,-1,0,,N,NBJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
93,,期货产品,期货产品,NBJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524121322,99990,0,-1,-1,-1,-1,0,,N,NBJG,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
94,,A产品,A产品,NACS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524134021,99990,0,-1,-1,-1,-1,0,,N,NACS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
95,,B产品,B产品,NBCS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524134045,99990,0,-1,-1,-1,-1,0,,N,NBCS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
96,,C产品,C产品,NCCS,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220524134109,99990,0,-1,-1,-1,-1,0,,N,NCCS,N,0.0,1,0.0,N,N,1.0,0.0,,1,1,01,0,1,,1,ALL,ALL,0,0,4,,,0,-1
97,,lisx1,lisx1,JGJG,0.0,1.0,1,-1,-1,RMB,RMB,,2,2,,20220525142804,99990,0,-1,-1,-1,-1,0,,N,JGJG,N,0.0,1,1234561.0,N,N,1.0,0.0,,1,1,98,0,1,,1,ALL,ALL,0,0,4,,,0,-1
